"Tweet_Date"|"Tweet_Text"|"Tweet_Handle"
"Thu Dec 26 123415 0000 2013"|"ashdubey ratigirl FirstpostBiz First economic move by AamAadmiParty  How come it has gone down in Guj"|"maverickenator"
"Thu Dec 26 123413 0000 2013"|"RT anandpassion Growing popularity can seen as AAP websites Rank 275 in India highest ever for a political party JoinAAP ankitlal Aam"|"aapkask"
"Thu Dec 26 123402 0000 2013"|"RT anandpassion Growing popularity can seen as AAP websites Rank 275 in India highest ever for a political party JoinAAP ankitlal Aam"|"arpshalder"
"Thu Dec 26 123354 0000 2013"|"ArvindKejriwal AapYogendra AamAadmiParty I hope your party realizes why the likes of alkalamba are trying to join AAP now Be careful"|"GargaC"
"Thu Dec 26 123351 0000 2013"|"RT ssttuuttii Press Conference AamAadmiParty Application form for candidature for LS2014 is being uploaded at website AAP4India http"|"kejriwalfanclub"
"Thu Dec 26 123346 0000 2013"|"anandpassion AamAadmiParty ankitlal Why Dont u ppl put Advertisement on ur website after showing these numbersno NEED of Donations LOL"|"varaliprasoon"
"Thu Dec 26 123343 0000 2013"|"ChaloDelhi SatyaPrakashDu5 AamAadmiParty ThanksWhat is the address of AAP Jamshedpur Unit of AAP"|"SharanVikash"
"Thu Dec 26 123341 0000 2013"|"Outlookindia When will Home Min probe financing of other political parties AamAadmiParty ArvindKejriwal"|"gauravlavania"
"Thu Dec 26 123333 0000 2013"|"RT anandpassion Growing popularity can seen as AAP websites Rank 275 in India highest ever for a political party JoinAAP ankitlal Aam"|"Sholoana1"
"Thu Dec 26 123328 0000 2013"|"RT anandpassion Growing popularity can seen as AAP websites Rank 275 in India highest ever for a political party JoinAAP ankitlal Aam"|"jaypn2009"
"Thu Dec 26 123324 0000 2013"|"anandpassion AamAadmiParty ankitlal  absolutely"|"tiwaribhaskar"
"Thu Dec 26 123319 0000 2013"|"RT anandpassion Growing popularity can seen as AAP websites Rank 275 in India highest ever for a political party JoinAAP ankitlal Aam"|"arvindk077"
"Thu Dec 26 123306 0000 2013"|"RT anandpassion Growing popularity can seen as AAP websites Rank 275 in India highest ever for a political party JoinAAP ankitlal Aam"|"madnish30"
"Thu Dec 26 123301 0000 2013"|"RT anandpassion Growing popularity can seen as AAP websites Rank 275 in India highest ever for a political party JoinAAP ankitlal Aam"|"vivkrgupta"
"Thu Dec 26 123255 0000 2013"|"RT tweet201213 No doubts that Alka Lamba amp Tina Sharma both are opportunist but let them work as workers for a longer duration 23 yea"|"jyoti1805"
"Thu Dec 26 123255 0000 2013"|"RT anandpassion Growing popularity can seen as AAP websites Rank 275 in India highest ever for a political party JoinAAP ankitlal Aam"|"srihariv"
"Thu Dec 26 123253 0000 2013"|"BindaasBol Mehul0811 DrShobha AamAadmiParty sanjay httpstcoEeDc2MPqNA He has not been appointed party chief AK was elected"|"Ishannarang"
"Thu Dec 26 123252 0000 2013"|"RT anandpassion Growing popularity can seen as AAP websites Rank 275 in India highest ever for a political party JoinAAP ankitlal Aam"|"MustWatchTweets"
"Thu Dec 26 123245 0000 2013"|"RT anandpassion Growing popularity can seen as AAP websites Rank 275 in India highest ever for a political party JoinAAP ankitlal Aam"|"BinHosBin"
